Station ID,Company Name,Location,Industry Domain,Preferred Branches,Stipend (UG),Stipend (PG),Have Accommodation?(Y or N)
5685,Pipe Candy -Business Analytics,Chennai,Finance and Mgmt,Any,0,0,N
5686,Pipe Candy -Industrial Research,Chennai,Finance and Mgmt,Any,0,0,N
5687,Pipe Candy -Marketing,Chennai,Finance and Mgmt,Any,0,0,N
5688,Prakriti Organics - Website Upgradation or enhancement,Bilaspur ,Finance and Mgmt,Any,0,0,N
5696,Proindia Healthcare LLP- Business Development,Pune,Finance and Mgmt,Any,0,0,N
5698,Proindia Healthcare LLP- Website enhancement,Pune,Finance and Mgmt,Any,0,0,N
5700,Rebus Research Financial Services(Stratzy) - Business development,Mumbai,Finance and Mgmt,Any,0,0,N
5701,Rebus Research Financial Services(Stratzy) - Marketing,Mumbai,Finance and Mgmt,Any,0,0,N
5986,SAMIL- Car Trade exchange business,Delhi,Finance and Mgmt,Any,0,0,N
5985,SAMIL- Finance,Delhi,Finance and Mgmt,B3,0,0,N
5987,SAMIL- Market Research,Delhi,Finance and Mgmt,Any,0,0,N
5984,SAMIL- Vehicle recommendation system,Delhi,Finance and Mgmt,Any,0,0,N
5949,ScoVelo Consulting - App/AR/VR,Chennai,Finance and Mgmt,"A3 , A7",0,0,N
5703,STEM4ALL-Mathematics,Usa,Finance and Mgmt,Any,0,0,N
5704,Suzlon Energy- Branding campaigns and strategy,Pune,Finance and Mgmt,Any,0,0,N
4554,Suzlon Foundation - Documentation and Analysis,Pune,Finance and Mgmt,Any,0,0,N
5706,"Swami Vivekanand Gujarat Rajya Yuva Board- Research, Policy and Copywriting",Ahmedabad ,Finance and Mgmt,Any,0,0,N
5358,"Tamil nadu Startup & Innovation Mission(Startuo TN), EDII -TN",Chennai,Finance and Mgmt,Any,0,0,N
5710,Tamil nadu Startup & Innovation Mission- Strategy Consulting,Chennai,Finance and Mgmt,Any,0,0,N
5711,TDF The diamond factory (I) Pvt Ltd - Business Development,Mumbai,Finance and Mgmt,Any,0,0,N
5942,LightSpeed AI Labs Pvt Ltd - Industrial Automation & Control,Hyderabad ,Computer Science,"A3 , A8 , AA",0,0,N
5721,WEBiROID Technology & Consultancy Services - Infographics design,Kolkata,Finance and Mgmt,Any,0,0,N
5379,WEBiROID Technology & Consultancy Services Pvt. Ltd.Kolkata-Investment Research,Kolkata,Finance and Mgmt,B3,0,0,N
